time;signal
237.8;381
238;384
238.2;395
238.4;390
238.6;394
238.8;399
239;392
239.2;379
239.4;381
239.6;378
239.8;383
240;379
240.2;391
240.4;382
240.6;388
240.8;392
241;390
241.2;403
241.4;415
241.6;415
241.8;409
242;401
242.2;381
242.4;381
242.6;386
242.8;381
243;382
243.2;383
243.4;379
243.6;379
243.8;378
244;381
244.2;378
244.4;377
244.6;378
244.8;376
245;377
245.2;380
245.4;380
245.6;382
245.8;378
246;384
246.2;391
246.4;397
246.6;399
246.8;394
247;399
247.2;380
247.4;378
247.6;385
247.8;380
248;384
248.2;380
248.4;379
248.6;383
248.8;380
249;380
249.2;376
249.4;377
249.6;379
249.8;379
250;382
250.2;380
250.4;380
250.6;384
250.8;379
251;384
251.2;394
251.4;391
251.6;397
251.8;396
252;395
252.2;386
252.4;382
252.6;372
252.8;379
253;389
253.2;386
253.4;386
253.6;385
253.8;386
254;388
254.2;377
254.4;377
254.6;375
254.8;383
255;377
255.2;380
255.4;375
255.6;382
255.8;380
256;385
256.2;407
256.4;410
256.6;406
256.8;409
257;397
257.2;388
257.4;384
257.6;386
257.8;385
258;380
258.2;433
258.4;426
258.6;427
258.8;426
259;425
259.2;388
259.4;392
259.6;394
259.8;388
260;392
260.2;381
260.4;387
260.6;380
260.8;376
261;385
261.2;382
261.4;382
261.6;374
261.8;383
262;375
262.2;377
262.4;383
262.6;379
262.8;382
263;378
263.2;383
263.4;377
263.6;379
263.8;379
264;381
264.2;396
264.4;395
264.6;393
264.8;394
265;396
265.2;379
265.4;379
265.6;380
265.8;382
266;379
266.2;387
266.4;389
266.6;386
266.8;386
267;390
267.2;380
267.4;376
267.6;383
267.8;377
268;377
268.2;376
268.4;376
268.6;379
268.8;383
269;384
269.2;402
269.4;403
269.6;402
269.8;404
270;404
270.2;381
270.4;377
270.6;382
270.8;381
271;378
271.2;379
271.4;375
271.6;380
271.8;383
272;380
272.2;386
272.4;388
272.6;383
272.8;389
273;387
273.2;386
273.4;379
273.6;379
273.8;382
274;382
274.2;390
274.4;395
274.6;392
274.8;396
275;396
275.2;385
275.4;386
275.6;378
275.8;381
276;379
276.2;378
276.4;380
276.6;379
276.8;379
277;382
277.2;379
277.4;381
277.6;378
277.8;380
278;384
278.2;382
278.4;383
278.6;380
278.8;379
279;382
279.2;389
279.4;394
279.6;384
279.8;385
280;389
280.2;393
280.4;394
280.6;394
280.8;398
281;394
281.2;376
281.4;379
281.6;382
281.8;379
282;380
282.2;382
282.4;378
282.6;381
282.8;379
283;381
283.2;378
283.4;387
283.6;384
283.8;378
284;382
284.2;377
284.4;384
284.6;378
284.8;377
285;378
285.2;388
285.4;391
285.6;391
285.8;389
286;385
286.2;385
286.4;386
286.6;388
286.8;385
287;391
287.2;382
287.4;380
287.6;382
287.8;375
288;380
288.2;382
288.4;375
288.6;382
288.8;382
289;379
289.2;384
289.4;384
289.6;378
289.8;374
290;378
290.2;378
290.4;381
290.6;379
290.8;381
291;382
291.2;396
291.4;396
291.6;401
291.8;394
292;394
292.2;387
292.4;390
292.6;385
292.8;388
293;384
293.2;385
293.4;383
293.6;381
293.8;387
294;376
294.2;377
294.4;383
294.6;380
294.8;383
295;390
295.2;385
295.4;381
295.6;384
295.8;381
296;379
296.2;392
296.4;399
296.6;396
296.8;396
297;396
297.2;386
297.4;380
297.6;380
297.8;379
298;380
298.2;393
298.4;392
298.6;390
298.8;386
299;385
299.2;385
299.4;382
299.6;384
299.8;382
300;380
300.2;381
300.4;385
300.6;380
300.8;381
301;384
301.2;404
301.4;401
301.6;403
301.8;403
302;404
302.2;383
302.4;381
302.6;381
302.8;381
303;387
303.2;384
303.4;379
303.6;383
303.8;379
304;381
304.2;379
304.4;384
304.6;382
304.8;378
305;380
305.2;380
305.4;378
305.6;382
305.8;383
306;374
306.2;391
306.4;395
306.6;392
306.8;396
307;396
307.2;384
307.4;382
307.6;379
307.8;377
308;376
308.2;377
308.4;381
308.6;380
308.8;384
309;380
309.2;396
309.4;401
309.6;403
309.8;400
310;401
310.2;383
310.4;378
310.6;382
310.8;381
311;386
311.2;388
311.4;385
311.6;388
311.8;384
312;389
312.2;384
312.4;378
312.6;378
312.8;375
313;380
313.2;383
313.4;380
313.6;377
313.8;376
314;378
314.2;394
314.4;394
314.6;390
314.8;393
315;397
315.2;391
315.4;396
315.6;395
315.8;394
316;400
316.2;389
316.4;387
316.6;387
316.8;387
317;386
317.2;385
317.4;382
317.6;384
317.8;384
318;381
318.2;384
318.4;381
318.6;376
318.8;376
319;377
319.2;374
319.4;380
319.6;384
319.8;375
320;384
320.2;391
320.4;390
320.6;394
320.8;391
321;396
321.2;377
321.4;382
321.6;378
321.8;382
322;376
322.2;379
322.4;380
322.6;381
322.8;376
323;379
323.2;379
323.4;380
323.6;378
323.8;376
324;378
324.2;376
324.4;380
324.6;382
324.8;377
325;377
325.2;394
325.4;393
325.6;394
325.8;394
326;394
326.2;377
326.4;376
326.6;380
326.8;384
327;379
327.2;374
327.4;376
327.6;375
327.8;375
328;376
328.2;379
328.4;377
328.6;375
328.8;380
329;380
329.2;386
329.4;387
329.6;382
329.8;380
330;382
330.2;387
330.4;396
330.6;394
330.8;391
331;396
331.2;377
331.4;368
331.6;378
331.8;377
332;381
332.2;378
332.4;379
332.6;375
332.8;377
333;381
333.2;391
333.4;392
333.6;391
333.8;394
334;391
334.2;387
334.4;377
334.6;384
334.8;382
335;385
335.2;389
335.4;391
335.6;387
335.8;391
336;398
336.2;374
336.4;374
336.6;372
336.8;372
337;373
337.2;376
337.4;373
337.6;375
337.8;375
338;371
338.2;374
338.4;372
338.6;367
338.8;373
339;360
339.2;365
339.4;364
339.6;362
339.8;370
340;367
340.2;391
340.4;386
340.6;393
340.8;392
341;403
341.2;397
341.4;401
341.6;410
341.8;415
342;422
342.2;433
342.4;438
342.6;451
342.8;457
343;472
343.2;484
343.4;496
343.6;503
343.8;522
344;536
344.2;547
344.4;574
344.6;576
344.8;592
345;613
345.2;638
345.4;660
345.6;673
345.8;688
346;711
346.2;717
346.4;731
346.6;749
346.8;768
347;790
347.2;814
347.4;833
347.6;858
347.8;884
348;908
348.2;917
348.4;932
348.6;962
348.8;989
349;1008
349.2;1041
349.4;1061
349.6;1080
349.8;1103
350;1125
350.2;1160
350.4;1187
350.6;1204
350.8;1218
351;1245
351.2;1247
351.4;1262
351.6;1280
351.8;1294
352;1311
352.2;1329
352.4;1346
352.6;1358
352.8;1378
353;1385
353.2;1407
353.4;1416
353.6;1429
353.8;1435
354;1439
354.2;1439
354.4;1445
354.6;1453
354.8;1458
355;1461
355.2;1479
355.4;1489
355.6;1490
355.8;1494
356;1506
356.2;1493
356.4;1507
356.6;1502
356.8;1507
357;1505
357.2;1505
357.4;1518
357.6;1520
357.8;1524
358;1524
358.2;1531
358.4;1532
358.6;1533
358.8;1540
359;1548
359.2;1542
359.4;1548
359.6;1547
359.8;1549
360;1555
360.2;1554
360.4;1552
360.6;1553
360.8;1560
361;1557
361.2;1568
361.4;1572
361.6;1573
361.8;1567
362;1579
362.2;1558
362.4;1566
362.6;1569
362.8;1562
363;1564
363.2;1574
363.4;1565
363.6;1559
363.8;1569
364;1565
364.2;1558
364.4;1559
364.6;1555
364.8;1558
365;1547
365.2;1550
365.4;1542
365.6;1540
365.8;1526
366;1519
366.2;1516
366.4;1499
366.6;1487
366.8;1471
367;1466
367.2;1435
367.4;1412
367.6;1405
367.8;1382
368;1367
368.2;1343
368.4;1326
368.6;1304
368.8;1282
369;1262
369.2;1241
